45.1906,-6.0727,-377.8507,0.046127
43.7430,-5.9734,-378.3070,0.046482
42.3020,-5.8734,-378.7600,0.046835
40.8679,-5.7736,-379.2090,0.047186
39.3733,-5.6671,-379.6756,0.047552
37.8868,-5.5611,-380.1379,0.047916
36.4096,-5.4538,-380.5961,0.048278
34.9419,-5.3481,-381.0496,0.048637
33.4837,-5.2439,-381.4981,0.048994
32.0352,-5.1407,-381.9424,0.049348
30.5947,-5.0368,-382.3823,0.049700
29.0966,-4.9280,-382.8387,0.050066
27.6004,-4.8177,-383.2937,0.050432
26.1033,-4.7043,-383.7475,0.050797
24.6189,-4.5914,-384.1966,0.051160
23.1472,-4.4768,-384.6409,0.051520
21.6881,-4.3629,-385.0809,0.051876
20.2414,-4.2511,-385.5174,0.052229
18.7453,-4.1327,-385.9677,0.052595
17.2627,-4.0199,-386.4142,0.052957
15.7941,-3.9045,-386.8556,0.053316
14.3387,-3.7916,-387.2914,0.053671
12.8967,-3.6805,-387.7217,0.054023
11.4094,-3.5640,-388.1656,0.054386
9.9371,-3.4516,-388.6055,0.054745
8.4795,-3.3363,-389.0406,0.055101
7.0367,-3.2223,-389.4714,0.055453
5.5522,-3.1040,-389.9161,0.055815
4.0833,-2.9872,-390.3563,0.056174
2.6303,-2.8668,-390.7908,0.056529
1.1920,-2.7552,-391.2213,0.056880
-0.2854,-2.6300,-391.6606,0.057241
-1.7471,-2.5160,-392.0959,0.057597
-3.1922,-2.3945,-392.5252,0.057950
-4.6736,-2.2749,-392.9670,0.058312
-6.1374,-2.1522,-393.4044,0.058669
-7.5843,-2.0287,-393.8357,0.059022
-9.0659,-1.9044,-394.2785,0.059384
-10.5307,-1.7771,-394.7147,0.059742
-11.9813,-1.6537,-395.1462,0.060096
-13.4693,-1.5242,-395.5855,0.060459
-14.9443,-1.3961,-396.0192,0.060819
-16.4065,-1.2682,-396.4467,0.061176
-17.8559,-1.1412,-396.8680,0.061529
-19.3408,-1.0102,-397.2957,0.061890
