x_right,z_right,x_left,z_left
-349.2552,-804.0333,-361.9896,-795.5866
-350.1270,-805.4194,-362.8580,-796.9700
-350.9971,-806.8088,-363.7254,-798.3562
-351.8701,-808.1986,-364.5959,-799.7422
-352.7417,-809.5903,-365.4659,-801.1313
-353.6173,-810.9831,-366.3380,-802.5202
-354.4900,-812.3778,-367.2095,-803.9126
-355.3661,-813.7732,-368.0816,-805.3060
-356.2418,-815.1714,-368.9566,-806.6995
-357.1204,-816.5693,-369.8310,-808.0958
-357.9979,-817.9705,-370.7079,-809.4921
-358.8777,-819.3705,-371.5846,-810.8915
-359.7568,-820.7740,-372.4635,-812.2910
-360.6379,-822.1757,-373.3422,-813.6933
-361.5193,-823.5787,-374.2224,-815.0961
-362.3975,-824.9831,-375.1014,-816.5010
-363.2788,-826.3869,-375.9819,-817.9030
-364.1556,-827.7902,-376.8588,-819.3031
-365.0324,-829.1886,-377.7331,-820.6981
-365.9025,-830.5812,-378.6047,-822.0874
-366.7690,-831.9635,-379.4696,-823.4692
-367.6279,-833.3327,-380.3298,-824.8392
-368.4768,-834.6928,-381.1806,-826.1973
-369.3202,-836.0393,-382.0232,-827.5418
-370.1565,-837.3731,-382.8590,-828.8729
-370.9793,-838.6916,-383.6854,-830.1931
-371.7957,-839.9948,-384.5030,-831.4982
-372.6005,-841.2840,-385.3125,-832.7865
-373.3981,-842.5562,-386.1084,-834.0595
-374.2824,-843.9670,-386.9950,-835.4689
-375.1505,-845.3574,-387.8661,-836.8593
-376.0078,-846.7239,-388.7262,-838.2264
-376.8475,-848.0685,-389.5693,-839.5723
-377.6755,-849.3881,-390.4002,-840.8925
-378.4861,-850.6866,-391.2143,-842.1922
-379.2856,-851.9604,-392.0177,-843.4686
-380.1533,-853.3517,-392.8909,-844.8634
-381.0081,-854.7146,-393.7512,-846.2283
-381.8454,-856.0497,-394.5919,-847.5708
-382.6643,-857.3633,-395.4162,-848.8889
-383.4717,-858.6503,-396.2304,-850.1804
-384.3392,-860.0413,-397.1045,-851.5758
-385.1934,-861.4018,-397.9666,-852.9409
-386.0267,-862.7376,-398.8068,-854.2810
-386.8460,-864.0410,-399.6355,-855.5914
-387.6448,-865.3217,-400.4437,-856.8796
-388.5031,-866.6868,-401.3116,-858.2512
-389.3467,-868.0282,-402.1590,-859.6018
-390.1721,-869.3526,-402.9939,-860.9323
-390.9880,-870.6503,-403.8154,-862.2326
-391.7839,-871.9267,-404.6180,-863.5120
-392.6376,-873.2838,-405.4772,-864.8715
-393.4704,-874.6200,-406.3167,-866.2113
-394.2962,-875.9324,-407.1495,-867.5255
-395.1027,-877.2276,-407.9639,-868.8211
-395.9041,-878.5002,-408.7724,-870.0961
-396.7517,-879.8631,-409.6303,-871.4619
-397.5893,-881.1951,-410.4703,-872.8000
-398.4037,-882.5048,-411.2994,-874.1089
-399.2119,-883.7888,-412.1140,-875.3914
-400.0512,-885.1383,-412.9612,-876.7432
-400.8805,-886.4556,-413.7986,-878.0620
-401.6837,-887.7482,-414.6102,-879.3576
-402.5314,-889.0960,-415.4643,-880.7030
-403.3535,-890.4177,-416.2932,-882.0270
-404.1727,-891.7180,-417.1198,-883.3276
-404.9754,-893.0076,-417.9323,-884.6230
-405.7863,-894.2934,-418.7480,-885.9055
-406.6318,-895.6351,-419.5922,-887.2500
-407.4561,-896.9579,-420.4236,-888.5722
-408.2721,-898.2528,-421.2465,-889.8687
-409.0679,-899.5302,-422.0507,-891.1480
-409.9015,-900.8530,-422.8939,-892.4752
-410.7167,-902.1619,-423.7152,-893.7822
-411.5161,-903.4304,-424.5298,-895.0631
-412.3449,-904.7607,-425.3655,-896.3940
-413.1631,-906.0577,-426.1932,-897.6938
-413.9688,-907.3319,-426.9967,-898.9735
-414.7917,-908.6476,-427.8260,-900.2930
-415.6092,-909.9382,-428.6453,-901.5820
-416.4069,-911.2155,-429.4449,-902.8537
-417.2490,-912.5466,-430.2778,-904.1640
-418.0841,-913.8672,-431.0911,-905.4596
-418.9059,-915.1785,-431.9016,-906.7328
-419.7569,-916.5224,-432.7319,-908.0549
-420.5878,-917.8471,-433.5522,-909.3604
-421.4255,-919.1666,-434.3654,-910.6410
-422.2456,-920.4573,-435.1627,-911.9129
-423.0727,-921.7718,-435.9990,-913.2275
-423.8880,-923.0526,-436.8208,-914.5379
-424.6840,-924.3047,-437.6371,-915.8374
-425.4661,-925.5495,-438.4520,-917.1213
-426.2433,-926.7712,-439.2531,-918.3983
-427.0431,-928.0467,-440.0872,-919.7133
-427.8144,-929.2609,-440.9088,-921.0256
